,Transition into Serious Delinquency (90+) for Student Loans by Age,,,,,,,,,,Return to Table of Contents
2005,05:Q1, 4.72 , 7.54 , 10.28 , 9.02 , 6.81 ,,,,,
2005,05:Q2, 4.74 , 7.71 , 10.22 , 8.34 , 6.83 ,,,,,
2005,05:Q3, 5.29 , 7.78 , 10.52 , 8.50 , 7.17 ,,,,,
2005,05:Q4, 5.07 , 7.27 , 9.73 , 7.47 , 6.70 ,,,,,
2006,06:Q1, 4.78 , 7.34 , 9.69 , 8.06 , 6.68 ,,,,,
2006,06:Q2, 5.38 , 7.90 , 9.45 , 8.43 , 7.12 ,,,,,
2006,06:Q3, 5.44 , 8.64 , 9.61 , 7.91 , 7.35 ,,,,,
2006,06:Q4, 5.85 , 9.54 , 9.97 , 8.01 , 7.88 ,,,,,
2007,07:Q1, 6.17 , 9.42 , 10.77 , 7.64 , 8.05 ,,,,,
2007,07:Q2, 5.86 , 9.81 , 10.75 , 7.97 , 8.11 ,,,,,
2007,07:Q3, 5.69 , 9.41 , 9.47 , 7.90 , 7.71 ,,,,,
2007,07:Q4, 5.50 , 9.43 , 9.08 , 7.41 , 7.52 ,,,,,
2008,08:Q1, 5.39 , 9.50 , 9.08 , 6.54 , 7.39 ,,,,,
2008,08:Q2, 5.17 , 8.66 , 9.04 , 6.21 , 6.98 ,,,,,
2008,08:Q3, 5.37 , 8.56 , 10.08 , 6.55 , 7.23 ,,,,,
2008,08:Q4, 5.44 , 8.60 , 10.53 , 6.81 , 7.38 ,,,,,
2009,09:Q1, 5.50 , 8.54 , 10.09 , 6.80 , 7.32 ,,,,,
2009,09:Q2, 5.83 , 8.81 , 9.93 , 7.40 , 7.61 ,,,,,
2009,09:Q3, 5.70 , 8.67 , 10.31 , 7.85 , 7.64 ,,,,,
2009,09:Q4, 6.12 , 8.59 , 10.93 , 8.17 , 7.93 ,,,,,
2010,10:Q1, 6.31 , 8.62 , 10.90 , 9.47 , 8.20 ,,,,,
2010,10:Q2, 6.49 , 8.97 , 12.38 , 9.55 , 8.63 ,,,,,
2010,10:Q3, 6.58 , 9.39 , 12.06 , 9.09 , 8.69 ,,,,,
2010,10:Q4, 6.41 , 9.12 , 11.56 , 9.04 , 8.46 ,,,,,
2011,11:Q1, 6.29 , 9.33 , 12.00 , 8.57 , 8.49 ,,,,,
2011,11:Q2, 6.50 , 9.43 , 11.71 , 8.77 , 8.60 ,,,,,
2011,11:Q3, 6.63 , 9.70 , 11.98 , 9.31 , 8.87 ,,,,,
2011,11:Q4, 6.83 , 10.25 , 12.25 , 10.18 , 9.31 ,,,,,
2012,12:Q1, 6.89 , 10.11 , 12.40 , 10.65 , 9.40 ,,,,,
2012,12:Q2, 7.53 , 10.30 , 13.02 , 10.74 , 9.80 ,,,,,
2012,12:Q3, 8.08 , 10.71 , 13.50 , 11.11 , 10.27 ,,,,,
2012,12:Q4, 8.27 , 10.56 , 14.18 , 10.05 , 10.25 ,,,,,
2013,13:Q1, 8.51 , 11.17 , 14.37 , 9.45 , 10.50 ,,,,,
2013,13:Q2, 7.75 , 10.97 , 13.26 , 9.12 , 9.95 ,,,,,
2013,13:Q3, 7.65 , 10.75 , 13.06 , 8.84 , 9.78 ,,,,,
2013,13:Q4, 7.79 , 11.23 , 13.04 , 10.19 , 10.21 ,,,,,
2014,14:Q1, 7.76 , 11.06 , 13.21 , 10.39 , 10.21 ,,,,,
2014,14:Q2, 7.94 , 11.12 , 13.59 , 10.25 , 10.33 ,,,,,
2014,14:Q3, 7.68 , 10.94 , 13.61 , 10.55 , 10.24 ,,,,,
2014,14:Q4, 7.52 , 10.96 , 13.52 , 10.16 , 10.13 ,,,,,
2015,15:Q1, 7.58 , 10.65 , 13.31 , 10.67 , 10.12 ,,,,,
2015,15:Q2, 7.53 , 10.85 , 13.27 , 11.20 , 10.27 ,,,,,
2015,15:Q3, 7.66 , 10.71 , 13.03 , 11.23 , 10.23 ,,,,,
2015,15:Q4, 7.97 , 10.51 , 13.06 , 10.41 , 10.13 ,,,,,
2016,16:Q1, 7.69 , 10.36 , 12.58 , 9.97 , 9.85 ,,,,,
2016,16:Q2, 7.88 , 9.74 , 12.21 , 9.75 , 9.60 ,,,,,
2016,16:Q3, 8.06 , 9.65 , 12.25 , 9.93 , 9.68 ,,,,,
2016,16:Q4, 7.94 , 9.29 , 12.11 , 10.01 , 9.52 ,,,,,
2017,17:Q1, 7.96 , 9.52 , 12.39 , 10.10 , 9.69 ,,,,,
2017,17:Q2, 7.76 , 9.87 , 12.43 , 10.25 , 9.80 ,,,,,
2017,17:Q3, 7.80 , 9.96 , 12.33 , 9.48 , 9.69 ,,,,,
2017,17:Q4, 7.38 , 9.47 , 12.10 , 9.55 , 9.38 ,,,,,
2018,18:Q1, 7.42 , 8.67 , 11.72 , 9.11 , 9.00 ,,,,,
2018,18:Q2, 7.05 , 8.58 , 11.14 , 8.95 , 8.73 ,,,,,
2018,18:Q3, 7.19 , 9.43 , 11.19 , 9.75 , 9.23 ,,,,,
2018,18:Q4, 6.98 , 9.57 , 10.63 , 9.31 , 9.03 ,,,,,
2018,19:Q1, 7.10 , 10.30 , 10.74 , 9.71 , 9.42 ,,,,,